source,rating,gold_label,text
amazon,2,negative,Arrived late and the outer sleeve was torn. Product itself is decent once you get it going.
amazon,1,negative,Arrived with a crushed box and a cracked water tank. Packaging needs serious work.
amazon,2,negative,Battery drain issue: loses half its charge sitting unused overnight. Needs a firmware fix.
amazon,2,negative,"Battery drains way too fast when idle. Great coffee, frustrating power management."
amazon,2,negative,Battery life is disappointing. It discharges while idle and dies mid-shot sometimes.
amazon,5,positive,"Beautiful design, great taste, easy to use. What more could you ask for."
amazon,5,positive,"Best travel espresso I have owned. Rich crema, compact, and the battery lasts all week."
amazon,2,negative,Box arrived damaged and wet. The machine has a scratch across the front.
amazon,1,negative,Box was open when it arrived and the manual was missing. Felt like a returned item resold.
amazon,1,negative,"Charge doesn't hold. Left it fully charged, two days later it was completely dead."
amazon,4,positive,Consistent quality shots and simple cleanup. Exactly what I wanted.
amazon,2,negative,Crushed box again. The packaging is way too flimsy for a machine this price.
amazon,5,negative,Customer support replaced my unit within two days. Really impressed with the service.
amazon,2,positive,Delivery was slow and the tracking page was useless. Almost two weeks to arrive.
amazon,5,positive,Espresso quality rivals my home machine. Compact and well built.
amazon,5,positive,Excellent taste and so easy to clean after each use. Recommend to any traveler.
amazon,5,positive,Fantastic crema and the heat-up time is impressively quick. Love it.
amazon,5,positive,Fast replacement when my frother arrived faulty. Support genuinely cares.
amazon,4,positive,Good espresso on the go. The compact size is perfect for my desk at work.
amazon,4,negative,Great little machine. Easy cleanup and consistent shots. Worth the money.
amazon,2,positive,Great machine but it arrived with the box crushed and the pressure gauge cracked.
amazon,5,positive,Had an issue with the pump and the support team sent a replacement immediately. Great service.
amazon,4,neutral,Impressed by the build quality and the espresso is genuinely great.
amazon,3,positive,It's okay. Makes decent coffee but nothing that wows me. Average machine overall.
amazon,5,neutral,Love how compact it is. Fits in my carry-on and the espresso tastes amazing.
amazon,3,positive,"Love the coffee, but shipping took 11 days and tracking never updated. Frustrating experience."
amazon,4,neutral,Makes a genuinely good shot every morning. Setup instructions could be clearer but I figured it out.
amazon,3,negative,"Neutral feelings - works as described, nothing spectacular. Shipping box was a bit banged up."
amazon,2,negative,Ordered for a trip and it arrived after I left. Shipping estimates are way off.
amazon,2,negative,Outer packaging was ripped and the accessories were loose inside. Disappointed.
amazon,1,positive,"Packaging was flimsy, unit was dented on arrival. Coffee tastes fine when it works though."
amazon,5,positive,"Perfect for camping. Heats fast, easy cleanup, and the crema is bar-quality. Highly recommend."
amazon,4,positive,"Quick, friendly support replies. They walked me through setup over chat."
amazon,5,positive,"Really impressed with the coffee quality. Smooth, rich flavor and quick heat-up."
amazon,5,negative,"Rich crema and a solid, premium feel. Very happy with this purchase."
amazon,1,negative,"Second order, second damaged box. The corner was smashed and the cup was cracked."
amazon,2,negative,Shipping was painfully slow. Took 12 days and support could not locate the package.
amazon,3,positive,Slow shipping and zero communication. The product is fine but the wait was painful.
amazon,4,positive,Solid build and easy to clean. Wish the water tank were a little bigger for two shots.
amazon,5,negative,Support was fast and helpful when I asked about descaling. Five stars for the team.
amazon,2,negative,The battery drains overnight even when off. Had to charge before every use on my trip.
amazon,2,positive,The box looked like it had been kicked across the warehouse. Dented machine inside.
amazon,5,negative,The flavor is rich and smooth. Best purchase I've made this year.
amazon,2,negative,The shipping box was completely crushed. Luckily the unit survived but this packaging is unacceptable.
amazon,5,positive,The support team refunded my shipping fee without me even asking. Impressive service.
amazon,5,positive,The taste is excellent and the design is beautiful. Great crema every single time.
amazon,2,negative,Took forever to ship. Ten days with no updates before it finally showed up.
amazon,3,negative,Tracking said delivered three days before it actually arrived. Very slow carrier.
amazon,2,negative,Unit arrived dented with the box torn open. Had to request a replacement.
amazon,5,positive,Very happy camper - great espresso at 3000 meters. Compact and reliable.
shopify,3,negative,"Beautiful product, disappointing presentation. The outer box was torn and there was no protective padding whatsoever."
shopify,5,positive,Consistently excellent coffee. After two months of daily use the quality hasn't drifted at all.
