author,rating,text,created_at
Marcus T.,2,Unit arrived dented with the box torn open. Had to request a replacement.,2026-04-20T11:00:00Z
Priya S.,3,Tracking said delivered three days before it actually arrived. Very slow carrier.,2026-04-21T07:00:00Z
Dan W.,5,The flavor is rich and smooth. Best purchase I've made this year.,2026-04-23T14:00:00Z
Lena K.,2,Delivery was slow and the tracking page was useless. Almost two weeks to arrive.,2026-04-25T17:00:00Z
Omar R.,4,Good espresso on the go. The compact size is perfect for my desk at work.,2026-04-26T07:00:00Z
Grace H.,3,"Neutral feelings - works as described, nothing spectacular. Shipping box was a bit banged up.",2026-04-28T15:00:00Z
Tomas L.,5,Excellent taste and so easy to clean after each use. Recommend to any traveler.,2026-04-30T06:00:00Z
Nadia P.,5,"Beautiful design, great taste, easy to use. What more could you ask for.",2026-05-01T15:00:00Z
Chris B.,1,Arrived with a crushed box and a cracked water tank. Packaging needs serious work.,2026-05-03T09:00:00Z
Sofia M.,2,The box looked like it had been kicked across the warehouse. Dented machine inside.,2026-05-05T13:00:00Z
Ethan J.,5,Customer support replaced my unit within two days. Really impressed with the service.,2026-05-06T16:00:00Z
Yara F.,2,Battery life is disappointing. It discharges while idle and dies mid-shot sometimes.,2026-05-08T14:00:00Z
Liam O.,3,"Love the coffee, but shipping took 11 days and tracking never updated. Frustrating experience.",2026-05-10T12:00:00Z
Maya R.,5,Espresso quality rivals my home machine. Compact and well built.,2026-05-11T18:00:00Z
Noah C.,5,"Best travel espresso I have owned. Rich crema, compact, and the battery lasts all week.",2026-05-13T11:00:00Z
Ava D.,5,The support team refunded my shipping fee without me even asking. Impressive service.,2026-05-15T13:00:00Z
Lucas G.,1,"Packaging was flimsy, unit was dented on arrival. Coffee tastes fine when it works though.",2026-05-16T15:00:00Z
Emma V.,5,Fantastic crema and the heat-up time is impressively quick. Love it.,2026-05-18T20:00:00Z
Oliver P.,2,Arrived late and the outer sleeve was torn. Product itself is decent once you get it going.,2026-05-20T13:00:00Z
Mia S.,5,Had an issue with the pump and the support team sent a replacement immediately. Great service.,2026-05-21T11:00:00Z
Elijah K.,5,Fast replacement when my frother arrived faulty. Support genuinely cares.,2026-05-23T10:00:00Z
Zoe T.,2,The shipping box was completely crushed. Luckily the unit survived but this packaging is unacceptable.,2026-05-25T09:00:00Z
Jack N.,3,It's okay. Makes decent coffee but nothing that wows me. Average machine overall.,2026-05-26T18:00:00Z
Lily A.,4,Great little machine. Easy cleanup and consistent shots. Worth the money.,2026-05-28T08:00:00Z
Henry B.,1,"Charge doesn't hold. Left it fully charged, two days later it was completely dead.",2026-05-30T17:00:00Z
Ruby W.,2,Great machine but it arrived with the box crushed and the pressure gauge cracked.,2026-06-01T18:00:00Z
Leo M.,3,Slow shipping and zero communication. The product is fine but the wait was painful.,2026-06-02T09:00:00Z
Isla F.,5,"Perfect for camping. Heats fast, easy cleanup, and the crema is bar-quality. Highly recommend.",2026-06-04T07:00:00Z
Owen H.,2,Battery drain issue: loses half its charge sitting unused overnight. Needs a firmware fix.,2026-06-06T15:00:00Z
Nora J.,4,Impressed by the build quality and the espresso is genuinely great.,2026-06-07T10:00:00Z
Caleb R.,2,Shipping was painfully slow. Took 12 days and support could not locate the package.,2026-06-09T14:00:00Z
Aria L.,4,Consistent quality shots and simple cleanup. Exactly what I wanted.,2026-06-11T13:00:00Z
Finn D.,5,Support was fast and helpful when I asked about descaling. Five stars for the team.,2026-06-12T20:00:00Z
Cora E.,2,Outer packaging was ripped and the accessories were loose inside. Disappointed.,2026-06-14T11:00:00Z
Miles Q.,2,Box arrived damaged and wet. The machine has a scratch across the front.,2026-06-16T17:00:00Z
Vera Z.,5,Love how compact it is. Fits in my carry-on and the espresso tastes amazing.,2026-06-17T13:00:00Z
Jude X.,4,Makes a genuinely good shot every morning. Setup instructions could be clearer but I figured it out.,2026-06-19T10:00:00Z
Iris Y.,5,Very happy camper - great espresso at 3000 meters. Compact and reliable.,2026-06-21T15:00:00Z
Rhys U.,2,Took forever to ship. Ten days with no updates before it finally showed up.,2026-06-22T07:00:00Z
Faye I.,4,"Quick, friendly support replies. They walked me through setup over chat.",2026-06-24T07:00:00Z
Cole S.,2,The battery drains overnight even when off. Had to charge before every use on my trip.,2026-06-26T14:00:00Z
June P.,1,"Second order, second damaged box. The corner was smashed and the cup was cracked.",2026-06-27T12:00:00Z
Beau K.,5,"Really impressed with the coffee quality. Smooth, rich flavor and quick heat-up.",2026-06-29T08:00:00Z
Sage O.,2,Ordered for a trip and it arrived after I left. Shipping estimates are way off.,2026-07-01T18:00:00Z
Knox V.,5,The taste is excellent and the design is beautiful. Great crema every single time.,2026-07-02T11:00:00Z
Wren A.,4,Solid build and easy to clean. Wish the water tank were a little bigger for two shots.,2026-07-04T08:00:00Z
Tate C.,2,"Battery drains way too fast when idle. Great coffee, frustrating power management.",2026-07-06T20:00:00Z
Elle N.,2,Crushed box again. The packaging is way too flimsy for a machine this price.,2026-07-07T13:00:00Z
Reid G.,5,"Rich crema and a solid, premium feel. Very happy with this purchase.",2026-07-09T12:00:00Z
Skye B.,1,Box was open when it arrived and the manual was missing. Felt like a returned item resold.,2026-07-11T06:00:00Z
