author,rating,text,created_at
Ari K.,4,"Quality justifies most of the price, though I'd expect a carry case included at this tier.",2026-05-11T17:15:00Z
Mia P.,2,"I bought this as a gift and had to apologise for the state of the box. Please invest in the unboxing, it's part of what people pay for here.",2026-05-13T12:15:00Z
Nora W.,4,"I hesitated at the price and still think it's high, but I use it daily so the cost per shot has worked out fine.",2026-05-15T13:45:00Z
Marlo K.,2,Second order and again the box was damaged in transit. The product survives but it undercuts the premium feel.,2026-05-17T15:30:00Z
Marlo C.,5,"Crema is thick and stable, extraction is even, and it handles a fine grind without complaint.",2026-05-19T11:00:00Z
Lena C.,4,The industrial design is a step above everything else in this category.,2026-05-21T14:30:00Z
Levi D.,5,Excellent build and excellent coffee. It feels like a considered product rather than a gadget.,2026-05-23T18:00:00Z
Bree C.,5,Consistently excellent coffee. After two months of daily use the quality hasn't drifted at all.,2026-05-25T11:15:00Z
Noah E.,3,It's a genuinely good machine but the direct price is steep compared to marketplace listings for similar portables.,2026-05-27T19:15:00Z
Lily P.,2,"The packaging didn't match the brand's aesthetic at all — thin cardboard, no insert, machine loose inside. Mine arrived scratched.",2026-05-29T21:00:00Z
Milo H.,5,Genuinely cafe-quality shots. I bought a second one for the office.,2026-06-01T19:45:00Z
Fern T.,5,The team followed up a week after delivery to check the machine was working well. Nice touch that you don't get from marketplaces.,2026-06-03T07:45:00Z
Arlo R.,5,The taste is remarkable for something this size. My partner switched from the cafe down the road to this.,2026-06-05T21:00:00Z
Elsa M.,4,"Pricey for what it is, but the coffee quality and the support have made it feel worthwhile.",2026-06-07T12:00:00Z
Arlo L.,5,"Rich, full-bodied espresso every morning. Heats in under a minute and cleans up in seconds.",2026-06-09T10:15:00Z
Roscoe E.,2,Machine is lovely but arrived with a dented base. The inner packaging offers no real protection for something this heavy.,2026-06-11T12:15:00Z
Drew S.,5,"Strong, aromatic shots with a proper crema layer. Exceeded what I expected.",2026-06-13T16:15:00Z
Nash C.,5,It looks lovely on the counter and takes almost no space. Form and function both handled.,2026-06-15T16:45:00Z
Sol Z.,5,"Genuinely well designed — the finish, the weight, the way the lid closes. Feels premium.",2026-06-17T16:15:00Z
Ethan P.,3,Packaging is the weak link. Everything else about buying direct has been excellent.,2026-06-19T14:15:00Z
Maud M.,5,The design is beautiful. It's the only appliance I don't hide in a cupboard.,2026-06-22T21:30:00Z
Ava N.,5,"The flavour profile is smooth and rounded. Best espresso I've made at home, easily.",2026-06-24T13:15:00Z
Finn R.,5,I've been pulling shots at home for years and this holds its own against proper equipment. The flavour is clean with no bitterness.,2026-06-26T21:30:00Z
Marlo A.,5,Two months in and every shot is as good as the first. Very impressed with the consistency.,2026-06-28T17:45:00Z
Greta M.,5,Support answered a descaling question within the hour with a proper detailed reply. Rare these days and it made me trust the brand.,2026-06-30T20:30:00Z
Sol A.,2,"Ordering direct from the brand I expected a nicer unboxing, but the box arrived crushed on one corner and the machine had a visible dent. For a premium DTC price this matters.",2026-07-02T14:45:00Z
Iris P.,5,My unit arrived damaged and they shipped a replacement before I'd even returned the first. Excellent service.,2026-07-04T21:30:00Z
Dex E.,5,"Elegant, compact, and it photographs well which is why I found the brand in the first place.",2026-07-06T17:00:00Z
Milo F.,5,"The espresso is outstanding. Thick crema, balanced extraction, and completely consistent shot after shot. It replaced a machine that cost three times as much.",2026-07-08T14:15:00Z
Posy N.,3,"Beautiful product, disappointing presentation. The outer box was torn and there was no protective padding whatsoever.",2026-07-10T13:00:00Z
